event,user_id,timestamp,time_taken_in_ms,auto_completed,auto_completion_count,wpm,numBksp
key_press,1,2021-05-17 20:29:47.872374,116,False,1,,0
key_press,1,2021-05-17 20:29:48.005372,130,False,1,,0
key_press,1,2021-05-17 20:29:48.190305,182,False,1,,0
key_press,1,2021-05-17 20:29:48.240658,46,False,1,,0
key_press,1,2021-05-17 20:29:48.349385,105,False,1,,0
word,1,2021-05-17 20:29:48.352386,946,True,1,,0
key_press,1,2021-05-17 20:29:48.474300,122,False,1,,0
key_press,1,2021-05-17 20:29:48.596459,119,False,1,,0
key_press,1,2021-05-17 20:29:48.687380,88,False,1,,0
key_press,1,2021-05-17 20:29:48.824429,134,False,1,,0
key_press,1,2021-05-17 20:29:48.979307,152,False,1,,0
key_press,1,2021-05-17 20:29:49.114164,132,False,2,,0
word,1,2021-05-17 20:29:49.117164,763,True,2,,0
key_press,1,2021-05-17 20:29:49.295406,178,False,2,,0
key_press,1,2021-05-17 20:29:49.380294,82,False,2,,0
key_press,1,2021-05-17 20:29:49.556374,173,False,2,,0
key_press,1,2021-05-17 20:29:49.640374,81,False,2,,0
key_press,1,2021-05-17 20:29:49.928580,285,False,2,,0
key_press,1,2021-05-17 20:29:50.040582,109,False,2,,0
word,1,2021-05-17 20:29:50.043583,924,True,2,,0
key_press,1,2021-05-17 20:29:50.129292,86,False,2,,0
key_press,1,2021-05-17 20:29:50.284428,152,False,2,,0
key_press,1,2021-05-17 20:29:50.351380,64,False,2,,0
word,1,2021-05-17 20:29:50.354381,309,True,2,,0
key_press,1,2021-05-17 20:29:50.482756,128,False,2,,0
key_press,1,2021-05-17 20:29:50.587448,102,False,2,,0
key_press,1,2021-05-17 20:29:51.222747,632,False,2,,0
key_press,1,2021-05-17 20:29:51.363391,138,False,2,,0
key_press,1,2021-05-17 20:29:51.638337,272,False,2,,0
key_press,1,2021-05-17 20:29:51.762379,122,False,3,,0
word,1,2021-05-17 20:29:51.765379,1409,True,3,,0
key_press,1,2021-05-17 20:29:52.058764,293,False,3,,0
key_press,1,2021-05-17 20:29:52.165056,104,False,3,,0
key_press,1,2021-05-17 20:29:52.276147,109,False,3,,0
key_press,1,2021-05-17 20:29:52.347375,68,False,3,,0
word,1,2021-05-17 20:29:52.350376,583,True,3,,0
key_press,1,2021-05-17 20:29:52.503485,153,False,3,,0
key_press,1,2021-05-17 20:29:52.699375,193,False,3,,0
key_press,1,2021-05-17 20:29:52.781305,79,False,3,,0
key_press,1,2021-05-17 20:29:52.935382,151,False,3,,0
word,1,2021-05-17 20:29:52.939384,586,True,3,,0
key_press,1,2021-05-17 20:29:53.069378,130,False,3,,0
key_press,1,2021-05-17 20:29:53.215500,143,False,3,,0
key_press,1,2021-05-17 20:29:53.313294,95,False,3,,0
key_press,1,2021-05-17 20:29:53.566128,250,False,3,,0
key_press,1,2021-05-17 20:29:53.741428,171,False,3,,0
key_press,1,2021-05-17 20:29:54.081440,337,False,4,,0
word,1,2021-05-17 20:29:54.084441,1143,True,4,,0
key_press,1,2021-05-17 20:29:54.219821,135,False,4,,0
key_press,1,2021-05-17 20:29:54.374369,152,False,4,,0
key_press,1,2021-05-17 20:29:54.499351,122,False,4,,0
