13163
23440
27235
67640
event,user_id,timestamp,time_taken_in_ms,auto_completed,auto_completion_count,wpm,numBksp
key_press,2,2021-05-17 20:34:55.574032,174,False,1,,0
key_press,2,2021-05-17 20:34:55.810005,228,False,1,,0
key_press,2,2021-05-17 20:34:55.980723,162,False,1,,0
word,2,2021-05-17 20:34:55.988802,889,True,1,,0
key_press,2,2021-05-17 20:34:56.097950,109,False,1,,0
key_press,2,2021-05-17 20:34:56.219234,113,False,1,,0
key_press,2,2021-05-17 20:34:56.395365,168,False,1,,0
key_press,2,2021-05-17 20:34:56.653980,250,False,1,,0
key_press,2,2021-05-17 20:34:56.892578,229,False,1,,0
key_press,2,2021-05-17 20:34:57.874429,974,False,2,,0
word,2,2021-05-17 20:34:57.882630,1886,True,2,,0
key_press,2,2021-05-17 20:34:57.994188,112,False,2,,0
key_press,2,2021-05-17 20:34:58.138483,135,False,2,,0
key_press,2,2021-05-17 20:34:58.251008,104,False,2,,0
key_press,2,2021-05-17 20:34:58.682277,423,False,2,,0
key_press,2,2021-05-17 20:34:59.882362,1192,False,3,,0
word,2,2021-05-17 20:34:59.891037,2001,True,3,,0
key_press,2,2021-05-17 20:35:00.039593,149,False,3,,0
key_press,2,2021-05-17 20:35:00.132068,84,False,3,,0
key_press,2,2021-05-17 20:35:00.322888,182,False,3,,0
key_press,2,2021-05-17 20:35:00.815454,484,False,3,,0
key_press,2,2021-05-17 20:35:01.938754,1112,False,4,,0
word,2,2021-05-17 20:35:01.947380,2048,True,4,,0
key_press,2,2021-05-17 20:35:02.125610,178,False,4,,0
key_press,2,2021-05-17 20:35:02.287763,153,False,4,,0
key_press,2,2021-05-17 20:35:02.452488,156,False,4,,0
key_press,2,2021-05-17 20:35:02.988560,527,False,4,,0
key_press,2,2021-05-17 20:35:03.502411,505,False,5,,0
word,2,2021-05-17 20:35:03.511388,1555,True,5,,0
key_press,2,2021-05-17 20:35:03.744210,233,False,5,,0
key_press,2,2021-05-17 20:35:03.921671,169,False,5,,0
key_press,2,2021-05-17 20:35:04.112266,182,False,5,,0
word,2,2021-05-17 20:35:04.123307,603,True,5,,0
key_press,2,2021-05-17 20:35:04.293690,170,False,5,,0
key_press,2,2021-05-17 20:35:04.517614,214,False,5,,0
key_press,2,2021-05-17 20:35:04.732470,206,False,5,,0
key_press,2,2021-05-17 20:35:05.256604,515,False,5,,0
key_press,2,2021-05-17 20:35:06.178659,913,False,6,,0
word,2,2021-05-17 20:35:06.187478,2055,True,6,,0
key_press,2,2021-05-17 20:35:06.327593,140,False,6,,0
key_press,2,2021-05-17 20:35:06.483377,147,False,6,,0
key_press,2,2021-05-17 20:35:07.045187,554,False,6,,0
key_press,2,2021-05-17 20:35:07.182402,129,False,6,,0
word,2,2021-05-17 20:35:07.192010,997,True,6,,0
key_press,2,2021-05-17 20:35:07.429837,238,False,6,,0
key_press,2,2021-05-17 20:35:07.610516,172,False,6,,0
key_press,2,2021-05-17 20:35:07.722668,104,False,6,,0
key_press,2,2021-05-17 20:35:07.873661,142,False,6,,0
word,2,2021-05-17 20:35:07.882290,682,True,6,,0
key_press,2,2021-05-17 20:35:08.281874,399,False,6,,0
key_press,2,2021-05-17 20:35:08.571017,281,False,6,,0
key_press,2,2021-05-17 20:35:09.140699,561,False,6,,0
key_press,2,2021-05-17 20:35:09.359205,210,False,6,,0
key_press,2,2021-05-17 20:35:09.662151,291,False,6,,0
key_press,2,2021-05-17 20:35:10.205042,533,False,7,,0
word,2,2021-05-17 20:35:10.216178,2326,True,7,,0
key_press,2,2021-05-17 20:35:10.559105,343,False,7,,0
key_press,2,2021-05-17 20:35:10.802233,235,False,7,,0
key_press,2,2021-05-17 20:35:10.988596,178,False,7,,0
key_press,2,2021-05-17 20:35:11.427182,430,False,7,,0
key_press,2,2021-05-17 20:35:11.860746,423,False,8,,0
word,2,2021-05-17 20:35:11.869497,1645,True,8,,0
key_press,2,2021-05-17 20:35:12.068059,199,False,8,,0
key_press,2,2021-05-17 20:35:12.232189,156,False,8,,0
key_press,2,2021-05-17 20:35:12.488329,248,False,8,,0
word,2,2021-05-17 20:35:12.497431,619,True,8,,0
key_press,2,2021-05-17 20:35:12.694779,197,False,8,,0
key_press,2,2021-05-17 20:35:13.290992,578,False,8,,0
key_press,2,2021-05-17 20:35:13.515034,215,False,8,,0
key_press,2,2021-05-17 20:35:13.975057,452,False,8,,0
sentence,2,2021-05-17 20:35:14.589225,23440,True,9,38.39590443686007,0
key_press,2,2021-05-17 20:35:15.992053,1394,False,0,,0
